-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us        3.814s         0.38%        3.814s      15.803us           0 b           0 b           0 b           0 b        241321  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us        3.429s         0.34%        3.429s      36.687us           0 b           0 b           0 b           0 b         93460  
                                        cudaMemcpyAsync        29.12%      554.928s        29.38%      559.761s       2.935ms        3.256s         0.32%        5.092s      26.695us      -3.36 Gb      -3.36 Gb   -6358.26 Gb   -6880.49 Gb        190731  
                                        cudaMemsetAsync         0.07%        1.284s         0.07%        1.287s       4.283us        3.188s         0.32%        3.278s      10.906us          -4 b          -8 b      34.41 Gb      27.24 Gb        300542  
computeCov2DCUDA(int, float3 const*, int const*, flo...         0.00%       0.000us         0.00%       0.000us       0.000us        2.845s         0.28%        2.845s      94.837us           0 b           0 b           0 b           0 b         30000  
                                  cudaStreamSynchronize         0.02%     436.327ms         0.02%     451.521ms       2.822us        2.844s         0.28%        2.845s      17.778us       7.67 Kb      -3.07 Kb       1.09 Gb       1.04 Gb        160012  
                                              aten::sgn         0.07%        1.323s         0.08%        1.436s      47.872us        2.027s         0.20%        2.086s      69.540us           0 b           0 b     585.94 Gb     526.89 Gb         30000  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us        2.027s         0.20%        2.027s      67.566us           0 b           0 b           0 b           0 b         30000  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us        1.594s         0.16%        1.594s      53.109us           0 b           0 b           0 b           0 b         30020  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us        1.460s         0.15%        1.460s       8.846us           0 b           0 b           0 b           0 b        165010  
                                          aten::nonzero         1.87%       35.616s         2.32%       44.134s     344.646us        1.328s         0.13%       43.327s     338.341us           0 b           0 b     392.67 Gb      17.54 Gb        128056  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us        1.115s         0.11%        1.115s      13.424us           0 b           0 b           0 b           0 b         83059  
                                            aten::index         0.21%        4.025s         1.85%       35.343s     425.519us        1.115s         0.11%       35.007s     421.476us           0 b           0 b     388.65 Gb      83.66 Gb         83059  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us        1.098s         0.11%        1.098s      35.726us           0 b           0 b           0 b           0 b         30728  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us        1.077s         0.11%        1.077s       5.692us           0 b           0 b           0 b           0 b        189133  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us        1.019s         0.10%        1.019s      16.989us           0 b           0 b           0 b           0 b         60000  
                               aten::linalg_vector_norm         0.06%        1.068s         0.06%        1.115s      24.691us     915.184ms         0.09%        1.259s      27.888us           0 b           0 b     154.18 Gb     149.78 Gb         45153  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     914.718ms         0.09%     914.718ms      20.288us           0 b           0 b           0 b           0 b         45086  
void at_cuda_detail::cub::DeviceSelectSweepKernel<at...         0.00%       0.000us         0.00%       0.000us       0.000us     875.699ms         0.09%     875.699ms       6.838us           0 b           0 b           0 b           0 b        128056  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     841.350ms         0.08%     841.350ms     953.912us           0 b           0 b           0 b           0 b           882  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     838.177ms         0.08%     838.177ms      27.298us           0 b           0 b           0 b           0 b         30705  
                                              aten::exp         0.03%     555.704ms         0.03%     563.739ms      18.359us     838.118ms         0.08%     997.487ms      32.485us          44 b          44 b     392.21 Gb     387.22 Gb         30706  
                                              aten::sum         0.10%        1.912s         0.10%        1.968s      65.234us     756.413ms         0.08%     785.395ms      26.037us           4 b           4 b     129.18 Gb     125.26 Gb         30165  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     755.618ms         0.08%     755.618ms      25.187us           0 b           0 b           0 b           0 b         30000  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     583.676ms         0.06%     583.676ms      19.456us           0 b           0 b           0 b           0 b         30000  
                                 aten::sigmoid_backward         0.08%        1.512s         0.08%        1.515s      50.502us     583.602ms         0.06%     583.602ms      19.453us           0 b           0 b     129.28 Gb     128.97 Gb         30000  
                                             aten::mean         0.11%        2.134s         0.12%        2.244s      36.822us     539.900ms         0.05%     745.162ms      12.228us           0 b           0 b      10.24 Mb       8.01 Mb         60940  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     533.899ms         0.05%     533.899ms       8.892us           0 b           0 b           0 b           0 b         60040  
void cub::DeviceRadixSortHistogramKernel<cub::Device...         0.00%       0.000us         0.00%       0.000us       0.000us     516.546ms         0.05%     516.546ms      17.212us           0 b           0 b           0 b           0 b         30010  
                                  cudaStreamIsCapturing         0.00%      12.908ms         0.00%      12.948ms       0.383us     453.194ms         0.05%     453.194ms      13.422us     -97.60 Mb     -97.60 Mb     158.47 Mb     158.47 Mb         33766  
                                             cudaMemset         0.01%     140.206ms         0.01%     140.293ms       4.675us     419.040ms         0.04%     419.040ms      13.963us           0 b           0 b       2.98 Gb       2.40 Gb         30010  
                                     aten::masked_fill_         0.08%        1.491s         0.10%        1.858s      61.635us     370.022ms         0.04%     370.753ms      12.299us           0 b           0 b           0 b           0 b         30144  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     369.621ms         0.04%     369.621ms      12.321us           0 b           0 b           0 b           0 b         30000  
                                             cudaMemcpy         9.12%      173.833s        11.03%      210.225s       7.005ms     341.601ms         0.03%      188.234s       6.272ms      -7.07 Kb     -10.59 Kb    4572.88 Gb    2749.46 Gb         30012  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     322.051ms         0.03%     322.051ms      10.677us           0 b           0 b           0 b           0 b         30162  
                                          aten::sigmoid         0.03%     650.734ms         0.03%     659.711ms      21.872us     322.051ms         0.03%     431.239ms      14.297us           0 b           0 b     130.57 Gb     128.92 Gb         30162  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     316.943ms         0.03%     316.943ms      10.561us           0 b           0 b           0 b           0 b         30010  
                                              aten::abs         0.03%     598.888ms         0.07%        1.377s      22.942us     316.934ms         0.03%     797.693ms      13.290us           0 b           0 b    1172.22 Gb     -13.66 Gb         60020  
        identifyTileRanges(int, unsigned long*, uint2*)         0.00%       0.000us         0.00%       0.000us       0.000us     307.021ms         0.03%     307.021ms      10.231us           0 b           0 b           0 b           0 b         30010  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     280.937ms         0.03%     280.937ms       8.991us           0 b           0 b           0 b           0 b         31246  
